,Team,Result,SRS,DRtg,MOV,ORtg,Age,DeFG%,SOS,OFT/FGA,ORB%,TOV,OeFG%
933,Houston Rockets,SF,5.84,109.0,5.77,114.7,27.4,0.519,0.08,0.233,24.6,15.1,0.545
105,New Jersey Nets,NP,-6.98,109.6,-8.11,101.4,26.7,0.506,1.13,0.245,30.4,18.3,0.478
602,Houston Rockets,NP,-1.3,103.3,-1.59,101.6,28.8,0.47200000000000003,0.28,0.24,25.5,14.5,0.47100000000000003
290,Minnesota Timberwolves,NP,-8.22,112.4,-9.0,102.6,25.4,0.51,0.78,0.293,27.7,17.1,0.475
848,Miami Heat,LF,4.15,105.8,4.76,110.9,30.6,0.511,-0.61,0.228,20.6,14.8,0.5539999999999999
61,Philadelphia 76ers,SF,2.46,106.3,2.35,108.6,28.0,0.499,0.11,0.302,37.3,19.5,0.49
87,Sacramento Kings,NP,-3.34,112.1,-3.22,108.9,26.3,0.498,-0.12,0.266,35.2,17.1,0.48
179,Los Angeles Lakers,LF,6.73,105.0,6.74,112.1,28.4,0.474,-0.01,0.261,33.0,14.7,0.5
758,Milwaukee Bucks,NP,-1.02,102.5,-0.84,101.6,26.7,0.48100000000000004,-0.17,0.217,24.7,13.5,0.467
835,Brooklyn Nets,SF,-1.58,107.7,-1.0,106.7,30.0,0.509,-0.58,0.23600000000000002,21.7,14.5,0.514
805,Brooklyn Nets,FR,1.25,106.2,1.78,108.2,28.6,0.503,-0.53,0.21899999999999997,30.9,14.7,0.498
79,Los Angeles Clippers,NP,-11.0,112.3,-11.43,101.2,26.2,0.526,0.42,0.255,31.8,18.2,0.457
48,Chicago Bulls,FR,-3.12,112.4,-3.8,108.6,26.6,0.509,0.69,0.266,35.1,17.5,0.48700000000000004
901,Detroit Pistons,FR,0.43,105.5,0.61,106.1,25.0,0.504,-0.18,0.19699999999999998,27.0,13.5,0.491
289,Milwaukee Bucks,NP,-4.3,110.9,-4.37,106.2,25.7,0.53,0.07,0.244,31.3,17.0,0.496
384,Seattle SuperSonics,SF,6.33,103.6,7.17,111.6,31.1,0.478,-0.84,0.23600000000000002,28.7,14.0,0.521
929,Dallas Mavericks,NP,-2.53,108.8,-2.93,105.6,27.6,0.529,0.4,0.18,18.1,11.9,0.505
267,Philadelphia 76ers,NP,-7.37,109.7,-7.62,101.7,27.2,0.502,0.25,0.221,28.0,16.7,0.478
956,Charlotte Hornets,NP,0.07,109.1,0.26,109.4,26.6,0.532,-0.19,0.233,22.2,12.7,0.508
339,Golden State Warriors,NP,-4.9,112.2,-4.71,107.2,26.7,0.518,-0.2,0.258,32.3,17.2,0.493
366,Denver Nuggets,NP,-11.74,112.1,-11.78,99.0,26.5,0.506,0.04,0.259,30.2,16.0,0.44
674,Philadelphia 76ers,FR,0.19,106.0,0.41,106.4,25.3,0.504,-0.23,0.22699999999999998,31.8,14.3,0.48200000000000004
80,Los Angeles Lakers,WF,8.32,106.5,9.3,115.6,27.8,0.47600000000000003,-0.99,0.278,34.1,16.6,0.528
184,New York Knicks,FR,-0.43,107.3,-0.23,107.1,28.1,0.489,-0.2,0.242,31.1,16.8,0.498
942,New York Knicks,NP,-3.87,111.5,-3.67,107.7,27.3,0.511,-0.2,0.188,26.6,13.9,0.496
715,Charlotte Bobcats,FR,1.3,102.8,1.46,104.4,27.4,0.491,-0.17,0.26,26.5,15.7,0.49
172,Dallas Mavericks,NP,-4.27,110.3,-4.57,105.5,30.6,0.495,0.31,0.21899999999999997,28.3,14.5,0.485
345,Milwaukee Bucks,NP,-1.38,108.3,-1.89,106.2,27.3,0.501,0.51,0.248,29.7,15.7,0.496
817,Memphis Grizzlies,CF,4.32,100.3,4.15,104.9,27.0,0.475,0.18,0.20199999999999999,31.0,14.0,0.47200000000000003
276,Boston Celtics,FR,-1.92,110.6,-1.88,108.6,27.2,0.512,-0.04,0.249,33.1,15.9,0.491
226,Dallas Mavericks,NP,-14.68,114.7,-15.2,99.5,24.9,0.519,0.52,0.21,31.1,17.8,0.455
154,Milwaukee Bucks,FR,-1.06,108.1,-0.78,107.3,28.1,0.49200000000000005,-0.28,0.24100000000000002,31.5,16.0,0.488
548,Milwaukee Bucks,FR,0.42,105.4,1.06,106.5,26.5,0.485,-0.64,0.255,27.6,13.5,0.47700000000000004
283,Golden State Warriors,NP,-4.9,112.2,-5.41,106.7,26.0,0.522,0.51,0.245,30.3,18.3,0.508
900,Denver Nuggets,NP,-2.81,108.9,-3.1,105.6,24.7,0.515,0.29,0.21600000000000003,25.8,14.7,0.489
5,Denver Nuggets,FR,-1.27,112.3,-1.1,111.3,27.0,0.522,-0.17,0.276,29.3,16.4,0.498
813,Houston Rockets,FR,3.69,106.1,3.48,109.7,24.4,0.502,0.22,0.23199999999999998,26.4,16.4,0.525
321,Philadelphia 76ers,NP,-9.45,113.0,-10.0,102.2,26.1,0.522,0.55,0.259,29.4,17.2,0.474
487,Los Angeles Clippers,NP,-0.09,106.0,-0.46,105.5,24.4,0.47700000000000004,0.38,0.225,31.3,14.8,0.47600000000000003
657,Cleveland Cavaliers,SF,-0.53,106.4,-0.35,106.0,27.1,0.494,-0.17,0.221,30.4,14.0,0.48
255,Detroit Pistons,NP,-7.46,110.9,-7.78,102.7,27.5,0.493,0.33,0.179,28.4,15.1,0.47700000000000004
689,Denver Nuggets,CF,3.13,106.8,3.41,110.4,27.7,0.485,-0.29,0.29,27.5,15.3,0.512
486,Indiana Pacers,FR,-0.07,103.8,0.27,104.1,26.1,0.469,-0.34,0.253,27.0,15.2,0.47700000000000004
962,Golden State Warriors,WF,5.79,107.6,5.98,113.6,28.8,0.504,-0.19,0.195,21.0,15.5,0.569
185,Orlando Magic,NP,-3.79,109.9,-3.98,105.9,26.1,0.493,0.18,0.251,33.0,17.0,0.473
698,Milwaukee Bucks,NP,-0.88,107.9,-1.09,106.7,26.3,0.503,0.21,0.239,27.8,14.1,0.483
887,Portland Trail Blazers,FR,4.41,103.7,4.23,108.2,27.0,0.47600000000000003,0.18,0.18,24.2,13.6,0.508
819,Milwaukee Bucks,FR,-1.83,105.2,-1.5,103.6,26.4,0.49200000000000005,-0.33,0.174,27.9,14.1,0.47600000000000003
126,Los Angeles Clippers,NP,-9.5,110.2,-9.91,100.8,24.6,0.49700000000000005,0.41,0.21600000000000003,31.2,20.3,0.478
293,Orlando Magic,LF,6.44,107.8,7.06,115.1,26.6,0.49,-0.62,0.239,34.0,15.8,0.539
568,Dallas Mavericks,SF,5.86,104.1,5.74,110.3,27.7,0.47200000000000003,0.11,0.273,28.6,13.4,0.49200000000000005
726,Memphis Grizzlies,NP,-1.39,109.9,-1.51,108.3,24.1,0.52,0.13,0.235,31.3,15.2,0.494
9,Indiana Pacers,NP,-4.25,106.5,-4.82,101.8,24.4,0.49700000000000005,0.57,0.228,28.1,18.6,0.48700000000000004
94,Chicago Bulls,SF,3.76,105.5,3.4,109.0,25.5,0.478,0.35,0.24,34.0,15.4,0.494
753,Indiana Pacers,FR,-1.38,106.0,-1.07,104.8,25.9,0.48700000000000004,-0.3,0.235,25.9,15.4,0.486
750,Detroit Pistons,NP,-3.78,111.7,-3.6,107.7,27.2,0.526,-0.18,0.20600000000000002,27.4,13.0,0.495
751,Golden State Warriors,NP,-2.0,110.7,-2.33,108.2,25.2,0.509,0.33,0.183,26.7,14.6,0.51
527,Portland Trail Blazers,FR,2.97,102.6,2.61,105.5,29.2,0.483,0.36,0.223,30.2,15.2,0.489
611,New Orleans/Oklahoma City Hornets,NP,-2.51,106.8,-2.82,103.7,26.3,0.502,0.31,0.257,26.9,13.4,0.46399999999999997
545,Los Angeles Lakers,LF,4.35,101.3,3.9,105.5,29.8,0.47100000000000003,0.45,0.244,28.1,13.8,0.48100000000000004
280,Dallas Mavericks,NP,-2.39,110.6,-2.9,107.6,24.3,0.519,0.51,0.221,38.9,16.4,0.466
522,New Orleans Hornets,FR,1.52,101.6,2.11,103.9,29.1,0.46399999999999997,-0.59,0.21899999999999997,31.7,14.8,0.465
456,Houston Rockets,NP,2.71,104.2,2.29,106.7,26.7,0.475,0.42,0.244,27.5,14.7,0.49200000000000005
905,Los Angeles Clippers,FR,4.13,103.8,4.28,108.3,29.7,0.48,-0.15,0.22,20.1,13.0,0.524
244,San Antonio Spurs,SF,2.21,106.8,2.67,109.6,27.5,0.47700000000000004,-0.46,0.265,27.8,15.0,0.507
196,Charlotte Hornets,NP,-3.57,110.9,-3.9,107.1,25.2,0.51,0.33,0.21600000000000003,31.1,15.5,0.485
833,Atlanta Hawks,FR,-0.88,106.4,-0.48,105.9,27.5,0.51,-0.4,0.20800000000000002,21.0,15.3,0.515
743,Atlanta Hawks,SF,-1.1,107.0,-0.82,106.1,27.4,0.495,-0.28,0.209,23.4,13.6,0.501
470,San Antonio Spurs,CF,7.92,98.0,7.76,106.6,29.5,0.444,0.16,0.267,27.1,14.0,0.496
54,Houston Rockets,LF,2.1,107.6,2.61,110.1,26.0,0.49700000000000005,-0.51,0.23199999999999998,35.5,16.8,0.496
526,Phoenix Suns,FR,1.57,102.5,1.13,103.7,25.2,0.47,0.43,0.21100000000000002,29.7,14.7,0.473
380,Phoenix Suns,FR,4.44,101.8,5.18,107.4,28.2,0.47100000000000003,-0.75,0.217,29.7,15.1,0.5
205,Los Angeles Clippers,FR,1.1,104.7,1.07,105.8,27.3,0.475,0.03,0.226,31.6,15.5,0.483
233,Los Angeles Lakers,FR,-1.2,108.9,-1.27,107.6,28.0,0.5,0.06,0.249,31.4,15.4,0.486
648,San Antonio Spurs,WF,8.35,99.9,8.43,109.2,30.4,0.47100000000000003,-0.08,0.235,24.2,13.9,0.521
721,Golden State Warriors,NP,-3.28,111.7,-3.6,108.1,25.1,0.525,0.32,0.23,20.9,14.7,0.514
