,MP,FGA,FG%,3P%,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Age,MOV,SOS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Team,Result,G,WIN_PCT
127,0.42857142857143243,0.35449735449735403,1.0,0.7636363636363638,1.0,0.773809523809524,0.6626506024096388,0.8455284552845536,0.19565217391304357,1.0,0.6716417910447765,0.921875,0.45283018867924546,0.41304347826086946,0.144927536231884,0.8125000000000003,0.9423076923076922,0.9720021130480718,0.10091743119266056,1.0,0.4905660377358496,0.38333333333333286,0.5323741007194247,0.5126050420168069,1.0,1.0,0.37288135593220334,0.3977272727272729,0.6607142857142854,0.5303030303030307,0.12499999999999996,0.8181818181818198,0.18348623853211002,Los Angeles Lakers,LF,82,0.6951219512195121
890,0.5806451612903182,0.5700934579439245,0.6714285714285719,0.4250000000000006,0.7142857142857141,0.6428571428571429,0.5392156862745099,0.8880000000000008,0.4878048780487803,0.2586206896551724,0.2857142857142856,0.11842105263157879,0.4000000000000001,0.30769230769230776,0.5961538461538458,0.6685082872928175,0.43283582089552275,0.6380020597322348,0.040816326530612276,0.9171597633136092,0.5833333333333333,0.3037974683544296,0.5072463768115941,0.5774647887323943,0.7662337662337648,0.6190476190476188,0.1666666666666668,0.5454545454545456,0.5925925925925922,0.5373134328358209,0.45652173913043476,0.22077922077922107,0.5000000000000004,Toronto Raptors,FR,82,0.5975609756097561
656,0.5,0.5147058823529413,0.0,0.605263157894737,0.0,0.44303797468354417,0.42857142857142855,0.4629629629629619,0.8888888888888888,0.3478260869565212,0.7714285714285712,0.42500000000000027,0.5945945945945947,0.6341463414634148,0.5849056603773587,0.301020408163265,0.21917808219178062,0.2981072555205047,0.5029940119760479,0.2556390977443614,0.5971223021582736,0.45967741935483875,0.4414414414414419,0.2978723404255319,0.07407407407407418,0.058139534883720326,0.588235294117647,0.7010309278350513,0.4301075268817204,0.5820895522388057,0.7142857142857143,0.4117647058823527,0.672727272727273,Chicago Bulls,NP,82,0.4024390243902439
853,0.2790697674418589,0.5636363636363639,0.5652173913043479,0.5764705882352938,0.5490196078431376,0.7285714285714283,0.4504504504504504,0.9379310344827585,0.4571428571428573,0.8867924528301884,0.8210526315789478,0.47619047619047616,0.736842105263158,0.8928571428571426,0.9374999999999999,0.8802816901408449,0.38888888888888884,0.9240506329113924,0.6342857142857143,0.8740157480314964,0.36800000000000066,0.5913978494623657,0.43150684931506844,0.6289308176100629,0.700000000000001,0.5903614457831331,0.7419354838709676,0.5625000000000001,0.6702127659574465,0.4374999999999995,0.6041666666666666,0.6969696969696967,0.6111111111111112,Oklahoma City Thunder,CF,82,0.7195121951219512
769,0.24324324324323784,0.49504950495049466,0.8035714285714284,1.0,0.7903225806451613,0.3333333333333333,0.39325842696629204,0.5725190839694658,0.42592592592592593,0.8181818181818177,0.5689655172413791,0.7199999999999995,0.4473684210526315,0.23809523809523814,0.0,0.7564102564102565,0.7083333333333336,0.8937462052216151,0.6506849315068494,0.9532710280373832,0.42063492063492014,0.5116279069767435,0.46031746031745996,0.6510416666666669,0.8888888888888905,1.0,0.17857142857142863,0.43181818181818166,0.39655172413793094,0.4444444444444444,0.20512820512820493,0.6973684210526304,0.09574468085106362,San Antonio Spurs,FR,82,0.7439024390243902
907,0.40540540540540665,0.3636363636363625,0.3561643835616438,0.1414141414141415,0.2297297297297305,0.6612903225806455,0.5,0.8394160583941598,0.6041666666666665,0.0,0.05405405405405387,0.24770642201834858,0.7209302325581397,0.21428571428571416,0.8076923076923077,0.10227272727272706,1.0,0.3806574559313959,0.5546218487394958,0.420382165605096,0.6984126984126985,0.25555555555555526,0.5249999999999998,0.18232044198895042,0.1785714285714288,0.16504854368932065,0.17142857142857185,0.5166666666666666,0.6363636363636365,0.7192982456140348,1.0,0.3285714285714282,1.0,Memphis Grizzlies,FR,82,0.5121951219512195
703,0.38709677419354543,0.5257731958762893,0.09523809523809532,0.35443037974683567,0.0,0.5822784810126582,0.5048543689320387,0.6513761467889898,0.8249999999999997,0.428571428571429,0.745098039215687,0.397260273972603,0.5333333333333333,0.5128205128205128,0.24528301886792464,0.21518987341772172,0.1690140845070422,0.15084745762711865,0.5922330097087379,0.05172413793103518,0.5859375000000001,0.6034482758620685,0.43511450381679384,0.0,0.015625000000000028,0.0,0.9117647058823533,0.6190476190476191,0.5151515151515151,0.7205882352941186,0.3333333333333335,0.5858585858585866,0.20161290322580663,Oklahoma City Thunder,NP,82,0.2804878048780488
739,0.26470588235293624,0.45360824742268085,0.6984126984126975,0.44897959183673436,0.782608695652174,0.2926829268292683,0.3592233009708737,0.20833333333333356,0.48837209302325607,0.7704918032786887,0.7213114754098356,0.4430379746835444,0.16666666666666655,0.40909090909090884,0.3333333333333327,0.50561797752809,0.7333333333333333,0.8595669982445875,0.3846153846153846,0.6394557823129254,0.16346153846153866,0.3149606299212598,0.41605839416058427,0.41584158415841577,0.5657894736842114,0.6477272727272727,0.4054054054054055,0.5673076923076924,0.34862385321100886,0.12244897959183575,0.14285714285714285,0.8764044943820216,0.26666666666666694,San Antonio Spurs,SF,82,0.6097560975609756
944,0.4444444444444421,0.8064516129032261,0.08333333333333341,0.015624999999999147,0.17857142857142858,0.3230769230769231,0.3624999999999998,0.3761467889908261,0.44186046511627924,0.5909090909090902,0.5750000000000002,0.3109243697478991,0.16666666666666666,0.35483870967741926,0.3292682926829268,0.17777777777777715,0.21666666666666679,0.016747703943814134,0.45614035087719296,0.04032258064516132,0.7368421052631579,0.5360824742268042,0.2978723404255322,0.2394366197183098,0.039473684210526376,0.02631578947368354,0.3333333333333333,0.35714285714285726,0.3552631578947367,0.6607142857142857,0.2857142857142857,0.46478873239436724,0.3700000000000002,Orlando Magic,NP,82,0.35365853658536583
480,0.5675675675675678,0.4069767441860461,0.5333333333333328,0.876404494382023,0.34090909090909133,0.4666666666666668,0.43298969072164967,0.682242990654206,0.29687500000000006,0.4375000000000002,0.4249999999999998,0.793650793650794,0.2285714285714286,0.6470588235294118,0.5666666666666664,0.4499999999999997,0.27118644067796627,0.3226006191950464,0.25210084033613445,0.4571428571428565,0.956043956043957,0.3536585365853653,0.4520547945205479,0.25280898876404495,0.500000000000001,0.45454545454545503,0.6097560975609757,0.4285714285714285,0.4684684684684682,0.909090909090908,0.18181818181818196,0.7999999999999995,0.44444444444444425,Cleveland Cavaliers,NP,82,0.35365853658536583
50,0.28571428571428376,0.29906542056074786,0.6612903225806449,0.8157894736842104,0.7058823529411774,0.8513513513513512,0.7272727272727278,0.8035714285714284,0.08333333333333354,0.4788732394366194,0.4705882352941172,0.5238095238095237,0.03125000000000017,0.1764705882352941,0.0,0.8924731182795699,0.1860465116279071,0.4914320685434516,0.3,0.9130434782608693,0.8571428571428568,0.5161290322580644,0.6633663366336635,1.0,0.8142857142857156,0.6666666666666664,0.06382978723404271,0.1097560975609755,0.7738095238095243,0.7241379310344825,0.0,0.36363636363636315,0.0,Dallas Mavericks,SF,82,0.5365853658536586
74,0.3333333333333263,1.0,0.29230769230769255,0.4352941176470589,0.28985507246376835,0.48571428571428604,0.5319148936170212,0.6486486486486489,0.8301886792452833,0.45161290322580633,0.6315789473684215,0.8433734939759036,0.7249999999999998,0.28260869565217384,0.7307692307692311,0.9148936170212765,0.75,0.5094066570188134,0.3858695652173913,0.5624999999999999,0.7558139534883725,1.0,0.24999999999999936,0.393939393939394,0.2753623188405797,0.27999999999999947,0.0,0.3720930232558142,0.23529411764705874,0.6515151515151513,0.8500000000000001,0.6296296296296297,0.7999999999999998,Denver Nuggets,FR,82,0.45121951219512196
