,MP,FGA,FG%,3P%,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Age,MOV,SOS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Team,Result,G,WIN_PCT
314,-1.8484017594484123,0.49961540316470243,1.0057690794709948,-0.6351822508066981,1.2627408622159728,-0.49964956559481816,-0.6327186952911018,0.24236274176444214,-0.3151200787947697,-0.3151707857006013,-0.4119806024367566,1.5120360245221196,0.8686046719773753,1.212478539779149,-1.430130357310299,0.8265645472856694,-0.2897580197240639,0.8416467956444804,-1.012883363590298,0.9825944315806658,-0.3337080715892994,0.2285315368076099,-0.773933748631925,0.07290273031832745,0.6801571689949664,0.7965837736385771,-1.3170587907892162,-0.15804987528276226,-0.6194831929350503,-0.45907054113398166,0.19423033344153245,-1.2572598868712934,-1.3889079605740444,Los Angeles Lakers,FR,82,0.6463414634146342
901,0.745390409882415,0.8898018361770633,-0.831021649710369,-0.43730618654095105,-0.6358598482289907,-0.3763628701941195,0.966456341783315,-2.559977966634259,1.8976362168830865,0.42559209540571524,1.4893315846634119,-1.3042711367917177,-0.8531637862773718,-1.4797089362027358,-0.9750216133052659,-0.17507857585186878,-0.8157017831926565,0.1183130384459701,-0.6466458709906462,-0.09095297523336135,-0.3073482027148139,-0.3217650631003596,0.6733111044858383,0.37662944247262514,-1.1466164387863402,-0.6049021386457191,-1.0413553502061361,1.2776141595932577,-0.596364316175158,0.09224128799786817,-0.5573066496750206,1.6543428978033652,-0.7530547719274663,Detroit Pistons,FR,82,0.5365853658536586
218,0.5140189298785897,-0.17136943123813253,0.09060778164335964,-0.30471808970426406,0.2021333063632092,0.6912465075904016,0.41220212239063636,1.0198411510668235,0.9427295880340281,-1.2532827640095534,-0.26564240867780453,-0.6349850536923672,0.833315327247039,-0.024561709354462388,0.8755272877390528,0.24253706651912954,0.08472497708554687,0.3743927089897158,-0.06548140387393768,0.6932540579468344,0.261499725457777,-0.4526966177193551,0.39515146574047083,0.12582055220075505,0.3338281915346436,0.10607950782726955,0.4965857727482953,1.5163208404789175,0.6772944401709783,0.3007992437791113,0.6857417473947341,-0.15302602834959203,1.40629448726411,Seattle SuperSonics,SF,82,0.573170731707317
622,-0.3680148224127049,0.773447227362382,-0.5412639976874194,0.006748771951593855,-0.49791227273102484,1.7299363799264715,1.574638654455195,0.3792168440398881,1.3899381672915816,-0.7436965735225703,0.17142763586546614,-1.0258758431311032,1.0887510969024072,-0.6533249791940988,-0.0977531657218263,1.1555482773669947,-0.02305218819215256,0.47997304866388385,-1.392229965535383,1.0544602065005046,0.32087944001364915,0.7638776003170396,1.086772428413875,0.16508446381002173,0.181345053271054,-0.36869018023584793,-0.8955252359214979,0.9122585804941167,1.2799723082359116,0.7566108320258425,1.6263194251968207,-0.8744159663322998,0.28096047991808143,Washington Wizards,FR,82,0.5121951219512195
123,2.1832186718230653,1.904514637965796,-0.6747580875687215,-0.07759234513651292,-0.5644849917581561,0.5250710866013497,0.1369679932435866,1.0231247463581545,1.1394708920277568,1.0929538690652818,2.231668028915244,-0.6454115673294966,0.7908191416991098,2.3580561465323684,0.025064275095006718,1.4302952471738883,-0.5990663408862563,-0.053978864796767,-0.48312469334014646,-0.09571578736203837,-0.026967782421797946,2.020502368354122,-0.8214325806691154,0.1979957834680277,-0.44580822902567874,-0.5890521664086175,-0.20093077590872935,0.15992557008891342,-0.37056023914174574,-0.6474963469794599,0.09136685188471569,-1.4439159156075527,-0.3392976238780045,Golden State Warriors,SF,82,0.524390243902439
34,-1.356567380437216,-0.6975332501922468,0.21865565502179943,0.5390506087416415,0.1267983188910151,-0.9403574478175154,-1.060997368027881,-0.20470081315685992,-0.08652807831366345,0.3285922412952646,0.2072674717651493,-1.235703777057958,-1.9739560810487118,0.61477009560246,-1.3574377231443033,-0.8397917303078557,0.7404815508963757,-1.0803036186686374,-0.16807822471066194,-0.623934619951161,1.0433887224658194,-0.5181709907228209,-0.6684886344539989,-0.8407618125250896,-0.0234507108808853,0.1690083116832774,1.2634505446403068,0.3586311964683696,-0.6345970936624553,-0.06982091331894642,-1.9400829261302286,-0.5076507733108356,-1.4119215796468465,Los Angeles Clippers,NP,82,0.3780487804878049
539,-1.2281953714151577,1.0126414797358145,0.36054622107494333,-0.5278855614545339,0.0892361404424252,1.2436116445230174,0.9420252914437294,0.5159879131060723,0.945456101721561,-0.8532496893436586,0.059779235016555986,0.32680619428105967,1.3529634917907598,1.366858945982558,0.4084401408621416,0.8884011684316868,-0.8368493985129811,0.27123478841724974,0.9998950400127957,0.2920843553820158,-0.05011875557600007,1.4797652545226365,0.5334793818566937,-1.0649192429220649,0.06302163288177243,-0.26481633040337876,-0.008658687369484287,0.803360801509583,0.8135180370025189,0.5982376100840824,1.3088962883685853,-1.1107660772739667,-0.3005416415502666,Denver Nuggets,FR,82,0.524390243902439
202,0.9665790746630345,1.2434905836949153,1.9680853036024126,0.2751859400412896,2.143779201140616,1.7621119988574963,2.2970295691284597,-0.5099205755334117,-0.3567084927696307,-0.21951592200574732,-0.488040704315041,0.2863367181369767,1.7023952608136927,-0.7706236309962678,1.5493297609634047,2.7391529950004685,-1.163042867265221,0.7765864917019297,-0.48148091083777717,1.4822336035462058,0.7053021166632717,2.4488603385827794,1.5963072457065386,0.5737970237726782,1.8444473822780245,1.9974971473889822,0.049658577274829335,-0.44515841188371885,1.198632923723641,0.8861383127546785,1.4263428345810494,-1.431886408128298,0.9121910187659098,Golden State Warriors,FR,82,0.6707317073170732
230,-0.5814815933978194,-1.4282761033701348,0.8324741269892934,1.0889087554713004,1.293605793702592,-0.8836662843745934,-0.9909299671509891,0.1591323362577343,-1.25674312127676,0.9785149883837163,-0.11466642473336688,0.5829358581638312,-0.21306442635454112,1.3536346783962359,-1.2387447479366962,-0.36301201304986136,0.21790770118048908,0.8345567412651077,-2.0040881399924397,0.49012318197148963,-0.9666870170285916,-1.0070169054468938,-0.4526071884997309,1.8197526414327787,1.2722466187727226,1.4995055397133799,0.5931330097081348,-0.7951635777020859,-0.3640960840961378,-1.077432438601316,-0.513150583911784,0.249172277298876,-1.165809485109667,Houston Rockets,SF,82,0.6707317073170732
606,0.04600185280158811,-1.501397558997557,-0.4608782554566187,0.8672171957799031,-0.2875268053798928,-0.8140877082006935,-0.3856519405948041,-1.1923124195488546,-0.959253101370247,-0.4915960401250905,-1.297952100124193,-0.6686056490058434,0.16682476484794975,0.7781173909502748,-0.8309019086355408,-1.1867793118904195,0.9828614783744456,0.9599460973277678,0.2288597203619808,-0.10704023694497564,-1.3418594764207241,-1.8255379939780156,0.13716545212990602,1.2731856592471582,0.10782678843144414,0.3941170892176276,0.15242982739089547,-0.6196733776730056,-0.2777298404662825,-1.125951664720923,1.1560583865856906,-0.33806416542215684,-0.43398359844489326,Memphis Grizzlies,FR,82,0.5975609756097561
