,NRtg,SRS,DRtg,MOV,ORtg,Age,DeFG%,SOS,OFT/FGA,ORB%,TOV,OeFG%,Team,Result
718,0.5708186248328453,0.5856837501527705,-0.39398553768249794,0.5781693360428494,0.4717897590852917,2.374522153594637,-0.34508012287902534,-0.23632417706196293,-0.0998104779639568,-0.8639120464569098,-1.3128414730116549,0.2573598249278733,Dallas Mavericks,FR
557,1.2388491810279096,1.3438888277292762,0.5312588091056,1.269987186888244,2.180964367887346,1.3586014684905212,0.7154598444924456,0.6892133668659629,0.6690770794122756,-1.1345058269007813,-0.8653993670619411,2.3607130992369676,Sacramento Kings,SF
541,-0.1890039135157965,-0.017301819197024434,0.24057002676479805,-0.18504803321924512,0.026460603623451755,0.6465633494623586,0.3051820240631664,1.1379757836336106,-0.10127469440235415,-0.10097695841525424,-0.136788932213016,0.26028955552468763,Golden State Warriors,NP
629,0.4030254671211454,0.4459987696115208,-0.16560859609444914,0.4181922409519633,0.43870684915437314,-0.057387133126639886,0.18333703394518197,0.18796341577700648,0.9090685543736412,0.7721121078031192,1.2191082766420125,0.2975844940265117,Denver Nuggets,FR
244,0.5337699114073601,0.45807094319671054,-0.41282920355863234,0.5268038963860467,0.49012318197148963,0.2905436015739872,-0.8847789562024022,-1.396447715738696,0.8908733972565072,-1.7000048902596332,-0.7787727648035427,1.0004405218734869,San Antonio Spurs,SF
377,0.44142711822511727,0.5115888695468276,-1.3053626711082373,0.44691349410492615,-0.5211670248019009,1.1427360285144519,-1.2206671701643466,0.5494257083155609,-0.8634401813165465,-0.880160370953601,-0.280194760136275,-0.10686014143256013,New York Knicks,SF
233,-0.2572385115216194,-0.24884477487437795,0.3141091766206947,-0.25046931439824804,-0.13262156688640225,0.6537231035414723,0.5922310755225735,0.1834173873210374,0.22155634053509649,-0.21935546971091985,-0.4354770154207559,-0.30960514995623206,Los Angeles Lakers,FR
91,-0.2761090080419098,-0.22060201637540428,-0.5298681147474201,-0.2806144799002308,-0.7115810654133837,-0.7064517492894142,-0.5184984872317868,0.7647592496848791,0.010084280915099216,0.5306890533177873,-0.7382149754886987,-1.725248905290252,Washington Bullets,FR
599,0.06692649282487821,0.09639197700761082,-0.2917085818305916,0.059672324969023374,-0.2436873479385638,0.5427742492515575,0.16494833304828763,0.6102925876319487,0.33810589274156183,-0.20563771330351296,0.34179283253833,-0.11442109041802273,Denver Nuggets,NP
122,1.1031096129792357,1.167267502467599,-1.2167228892661115,1.0421299077074901,0.709813116179874,1.187140638820465,-1.975369714808428,0.7414622029734192,0.584127399868479,0.6133228048770728,-0.4993816461272958,0.795472156346676,Detroit Pistons,WF
745,-0.8709554889576047,-0.8967681997232503,0.16686023195949132,-0.84720907010437,-1.2117266825105277,0.1604191998963009,0.11205957008204623,-0.21492510982027946,0.3328942763446814,-0.2804679563817818,0.25128518539341305,-0.9298967951991856,Charlotte Bobcats,NP
851,-0.5860411103274511,-0.41462285194625365,1.124692490209662,-0.571834619828056,0.16441608413393938,-1.168191081152955,0.8594491838591807,1.2245917440627783,0.1992831953353209,0.536012923512481,-0.8949087002248286,-0.29903453118468487,New Orleans Pelicans,NP
77,0.20278169770946824,0.13186930138392522,-1.133183294905382,0.20559961098856702,-0.4962341640382797,-0.5046083923495785,-1.1461545507228947,-0.8401187377925132,-1.0104449476926356,0.05014384755758361,-0.06176300591738246,-0.2982795479409163,Houston Rockets,SF
146,0.2605285167939325,0.3300125241370371,-0.5310436756318123,0.28515853452132695,-0.03317659327650889,1.6288965159703566,0.9545158078710344,0.32597730994356705,-1.0720412515640942,-1.0152400557695014,-1.5827966998880287,-0.5605006415764959,Denver Nuggets,FR
